iter	Passed	Remaining
0	156	155938
1	168	83837
2	180	59936
3	190	47518
4	201	40034
5	212	35249
6	222	31628
7	234	29021
8	245	26983
9	256	25405
10	266	23970
11	278	22916
12	289	21981
13	300	21156
14	311	20438
15	321	19786
16	332	19239
17	342	18679
18	353	18242
19	363	17820
20	374	17444
21	384	17109
22	396	16821
23	406	16548
24	418	16317
25	428	16065
26	439	15844
27	449	15607
28	459	15399
29	470	15201
30	480	15021
31	489	14808
32	499	14623
33	509	14477
34	520	14344
35	530	14199
36	540	14056
37	550	13948
38	562	13856
39	573	13754
40	582	13625
41	592	13516
42	602	13401
43	609	13249
44	619	13152
45	628	13044
46	638	12941
47	647	12842
48	656	12749
49	666	12662
50	676	12586
51	687	12524
52	697	12457
53	707	12386
54	717	12326
55	727	12260
56	737	12197
57	746	12127
58	756	12065
59	766	12002
60	776	11947
61	785	11878
62	794	11818
63	804	11763
64	813	11704
65	823	11656
66	833	11605
67	843	11554
68	853	11515
69	863	11469
70	873	11429
71	883	11384
72	893	11341
73	902	11298
74	912	11254
75	921	11207
76	931	11165
77	939	11108
78	949	11064
79	957	11014
80	967	10979
81	977	10940
82	986	10900
83	994	10849
84	1004	10816
85	1014	10780
86	1023	10744
87	1032	10705
88	1042	10668
89	1050	10623
90	1060	10596
91	1070	10569
92	1081	10545
93	1092	10528
94	1102	10503
95	1112	10473
96	1120	10434
97	1130	10407
98	1139	10374
99	1150	10352
100	1159	10320
101	1170	10304
102	1179	10273
103	1189	10247
104	1198	10218
105	1208	10189
106	1217	10164
107	1227	10138
108	1237	10113
109	1247	10090
110	1256	10062
111	1265	10034
112	1275	10011
113	1285	9988
114	1294	9962
115	1303	9936
116	1313	9914
117	1323	9892
118	1333	9872
119	1342	9847
120	1352	9826
121	1362	9809
122	1373	9791
123	1382	9769
124	1392	9747
125	1403	9732
126	1412	9709
127	1422	9687
128	1432	9668
129	1441	9645
130	1451	9625
131	1459	9599
132	1469	9580
133	1478	9557
134	1489	9541
135	1498	9519
136	1508	9503
137	1518	9484
138	1527	9463
139	1537	9447
140	1547	9426
141	1557	9407
142	1566	9390
143	1575	9364
144	1584	9345
145	1593	9321
146	1602	9301
147	1612	9283
148	1622	9267
149	1632	9250
150	1641	9231
151	1650	9208
152	1660	9192
153	1670	9176
154	1680	9160
155	1690	9144
156	1700	9128
157	1709	9108
158	1719	9093
159	1729	9078
160	1738	9059
161	1748	9043
162	1758	9030
163	1767	9011
164	1777	8997
165	1788	8984
166	1797	8968
167	1808	8954
168	1817	8936
169	1827	8922
170	1837	8910
171	1846	8890
172	1856	8873
173	1865	8856
174	1875	8839
175	1884	8822
176	1893	8804
177	1903	8791
178	1912	8771
179	1921	8752
180	1930	8735
181	1939	8715
182	1948	8698
183	1957	8681
184	1967	8666
185	1976	8650
186	1986	8635
187	1995	8619
188	2007	8612
189	2017	8600
190	2026	8582
191	2035	8567
192	2045	8554
193	2055	8540
194	2065	8525
195	2074	8508
196	2083	8493
197	2093	8480
198	2104	8469
199	2114	8457
200	2123	8443
201	2133	8427
202	2142	8412
203	2151	8396
204	2160	8379
205	2170	8364
206	2179	8350
207	2189	8337
208	2199	8324
209	2208	8309
210	2217	8292
211	2226	8277
212	2236	8262
213	2245	8248
214	2255	8234
215	2264	8220
216	2271	8196
217	2280	8179
218	2289	8163
219	2298	8147
220	2306	8131
221	2316	8116
222	2325	8102
223	2333	8085
224	2343	8072
225	2352	8056
226	2361	8041
227	2369	8023
228	2379	8009
229	2387	7993
230	2397	7980
231	2405	7964
232	2415	7952
233	2425	7939
234	2434	7923
235	2443	7908
236	2452	7894
237	2461	7879
238	2470	7866
239	2480	7853
240	2489	7841
241	2498	7826
242	2507	7810
243	2515	7793
244	2524	7778
245	2532	7763
246	2542	7751
247	2551	7737
248	2560	7723
249	2570	7710
250	2579	7695
251	2587	7681
252	2596	7666
253	2605	7651
254	2614	7637
255	2623	7623
256	2632	7609
257	2641	7596
258	2650	7581
259	2661	7574
260	2671	7563
261	2680	7550
262	2689	7537
263	2698	7523
264	2708	7512
265	2718	7501
266	2728	7489
267	2738	7480
268	2748	7469
269	2758	7458
270	2768	7446
271	2776	7432
272	2786	7419
273	2795	7407
274	2805	7396
275	2814	7382
276	2823	7370
277	2833	7358
278	2842	7344
279	2851	7331
280	2860	7319
281	2869	7306
282	2879	7294
283	2888	7281
284	2897	7268
285	2906	7255
286	2915	7242
287	2924	7230
288	2934	7218
289	2943	7205
290	2952	7192
291	2961	7179
292	2969	7165
293	2979	7154
294	2988	7143
295	2998	7132
296	3006	7116
297	3015	7104
298	3025	7093
299	3034	7081
300	3044	7069
301	3053	7057
302	3063	7047
303	3071	7031
304	3080	7018
305	3088	7005
306	3098	6995
307	3107	6982
308	3116	6969
309	3125	6956
310	3134	6944
311	3143	6932
312	3153	6921
313	3162	6910
314	3172	6898
315	3181	6886
316	3190	6873
317	3199	6862
318	3208	6850
319	3217	6838
320	3226	6825
321	3235	6813
322	3245	6802
323	3254	6790
324	3264	6779
325	3273	6767
326	3282	6755
327	3291	6743
328	3300	6731
329	3309	6720
330	3318	6707
331	3327	6695
332	3336	6683
333	3345	6671
334	3355	6660
335	3364	6647
336	3373	6636
337	3382	6625
338	3391	6613
339	3401	6602
340	3410	6591
341	3419	6579
342	3428	6567
343	3437	6555
344	3446	6543
345	3455	6531
346	3464	6519
347	3474	6509
348	3483	6497
349	3492	6486
350	3501	6474
351	3510	6462
352	3519	6451
353	3528	6439
354	3538	6429
355	3547	6417
356	3556	6406
357	3566	6395
358	3575	6384
359	3585	6373
360	3594	6362
361	3603	6350
362	3612	6338
363	3621	6327
364	3630	6315
365	3639	6303
366	3648	6292
367	3657	6281
368	3667	6272
369	3677	6262
370	3687	6251
371	3696	6240
372	3706	6231
373	3716	6221
374	3726	6210
375	3735	6199
376	3746	6190
377	3755	6179
378	3765	6169
379	3775	6159
380	3785	6150
381	3794	6138
382	3804	6129
383	3813	6117
384	3822	6106
385	3832	6096
386	3842	6086
387	3851	6075
388	3862	6066
389	3871	6055
390	3881	6044
391	3890	6034
392	3900	6024
393	3909	6013
394	3919	6002
395	3929	5993
396	3939	5983
397	3949	5973
398	3959	5963
399	3968	5953
400	3978	5942
401	3986	5930
402	3996	5920
403	4008	5912
404	4017	5901
405	4026	5891
406	4036	5881
407	4045	5870
408	4055	5860
409	4064	5849
410	4073	5838
411	4083	5827
412	4092	5816
413	4101	5805
414	4110	5794
415	4120	5784
416	4129	5772
417	4138	5762
418	4147	5750
419	4156	5740
420	4166	5729
421	4175	5718
422	4184	5708
423	4193	5697
424	4203	5687
425	4213	5677
426	4223	5667
427	4233	5657
428	4242	5646
429	4252	5637
430	4262	5626
431	4272	5617
432	4281	5606
433	4291	5596
434	4300	5585
435	4309	5575
436	4318	5563
437	4327	5552
438	4337	5542
439	4346	5532
440	4355	5521
441	4365	5511
442	4374	5500
443	4384	5490
444	4393	5479
445	4402	5469
446	4412	5459
447	4422	5448
448	4431	5437
449	4440	5426
450	4449	5416
451	4459	5406
452	4469	5396
453	4479	5387
454	4488	5376
455	4498	5366
456	4509	5358
457	4519	5348
458	4529	5338
459	4538	5327
460	4548	5317
461	4558	5308
462	4567	5298
463	4577	5287
464	4586	5276
465	4596	5267
466	4605	5256
467	4614	5246
468	4623	5234
469	4633	5224
470	4642	5214
471	4652	5203
472	4660	5192
473	4669	5182
474	4678	5170
475	4687	5160
476	4696	5149
477	4706	5139
478	4715	5129
479	4724	5118
480	4734	5108
481	4744	5098
482	4753	5088
483	4763	5078
484	4772	5067
485	4782	5057
486	4791	5047
487	4801	5037
488	4811	5027
489	4821	5017
490	4831	5008
491	4840	4998
492	4851	4988
493	4860	4978
494	4870	4968
495	4879	4958
496	4887	4946
497	4896	4935
498	4905	4925
499	4915	4915
500	4924	4904
501	4933	4894
502	4942	4883
503	4951	4873
504	4961	4863
505	4971	4853
506	4980	4842
507	4990	4833
508	4999	4822
509	5010	4814
510	5020	4804
511	5031	4795
512	5040	4785
513	5049	4774
514	5059	4764
515	5068	4754
516	5077	4743
517	5087	4734
518	5097	4724
519	5107	4714
520	5116	4704
521	5125	4693
522	5135	4683
523	5144	4673
524	5153	4662
525	5163	4652
526	5173	4643
527	5182	4632
528	5193	4623
529	5202	4613
530	5211	4602
531	5220	4592
532	5229	4582
533	5239	4572
534	5249	4563
535	5259	4553
536	5268	4542
537	5277	4532
538	5287	4522
539	5297	4512
540	5307	4503
541	5316	4492
542	5325	4482
543	5334	4471
544	5343	4461
545	5352	4450
546	5362	4440
547	5371	4430
548	5381	4420
549	5391	4410
550	5400	4400
551	5409	4390
552	5419	4380
553	5428	4370
554	5438	4360
555	5448	4350
556	5458	4340
557	5467	4330
558	5476	4320
559	5485	4310
560	5494	4299
561	5503	4289
562	5513	4279
563	5522	4268
564	5531	4258
565	5540	4248
566	5549	4238
567	5558	4227
568	5568	4217
569	5578	4208
570	5587	4198
571	5596	4187
572	5604	4176
573	5613	4165
574	5621	4155
575	5630	4144
576	5639	4134
577	5648	4124
578	5657	4113
579	5666	4103
580	5674	4092
581	5682	4081
582	5691	4070
583	5700	4060
584	5708	4049
585	5717	4039
586	5726	4029
587	5734	4018
588	5743	4007
589	5752	3997
590	5760	3986
591	5769	3976
592	5778	3965
593	5787	3955
594	5797	3946
595	5807	3936
596	5817	3927
597	5827	3917
598	5836	3907
599	5845	3896
600	5855	3887
601	5864	3877
602	5873	3867
603	5882	3856
604	5892	3846
605	5900	3836
606	5909	3826
607	5920	3816
608	5929	3807
609	5938	3796
610	5947	3786
611	5956	3776
612	5965	3765
613	5974	3755
614	5984	3746
615	5993	3736
616	6002	3726
617	6012	3716
618	6022	3706
619	6031	3696
620	6040	3686
621	6050	3677
622	6060	3667
623	6068	3656
624	6078	3647
625	6088	3637
626	6096	3626
627	6104	3615
628	6113	3606
629	6122	3595
630	6131	3585
631	6139	3574
632	6147	3564
633	6157	3554
634	6167	3545
635	6177	3535
636	6187	3526
637	6196	3515
638	6205	3505
639	6214	3495
640	6223	3485
641	6233	3475
642	6242	3465
643	6250	3455
644	6259	3445
645	6268	3434
646	6277	3424
647	6285	3414
648	6294	3404
649	6304	3394
650	6314	3385
651	6323	3375
652	6333	3365
653	6342	3355
654	6352	3345
655	6362	3336
656	6372	3326
657	6381	3316
658	6391	3307
659	6401	3297
660	6412	3288
661	6422	3279
662	6431	3269
663	6441	3259
664	6450	3249
665	6459	3239
666	6468	3229
667	6477	3219
668	6485	3208
669	6495	3199
670	6505	3189
671	6515	3180
672	6526	3170
673	6535	3161
674	6545	3151
675	6555	3142
676	6565	3132
677	6576	3123
678	6586	3113
679	6595	3103
680	6605	3094
681	6614	3084
682	6625	3074
683	6636	3065
684	6646	3056
685	6657	3047
686	6668	3038
687	6679	3028
688	6689	3019
689	6699	3009
690	6709	3000
691	6720	2991
692	6729	2980
693	6738	2970
694	6746	2960
695	6756	2950
696	6766	2941
697	6776	2931
698	6786	2922
699	6794	2912
700	6804	2902
701	6813	2892
702	6822	2882
703	6831	2872
704	6841	2862
705	6850	2852
706	6859	2842
707	6868	2832
708	6878	2823
709	6886	2812
710	6895	2802
711	6905	2793
712	6912	2782
713	6921	2772
714	6930	2762
715	6939	2752
716	6946	2741
717	6956	2732
718	6965	2722
719	6974	2712
720	6983	2702
721	6992	2692
722	7001	2682
723	7011	2672
724	7021	2663
725	7030	2653
726	7039	2643
727	7049	2633
728	7058	2623
729	7067	2614
730	7077	2604
731	7086	2594
732	7096	2584
733	7105	2575
734	7115	2565
735	7124	2555
736	7133	2545
737	7143	2535
738	7152	2526
739	7161	2516
740	7170	2506
741	7179	2496
742	7186	2485
743	7194	2475
744	7202	2465
745	7211	2455
746	7220	2445
747	7229	2435
748	7237	2425
749	7246	2415
750	7255	2405
751	7263	2395
752	7272	2385
753	7281	2375
754	7291	2366
755	7301	2356
756	7309	2346
757	7319	2336
758	7328	2327
759	7338	2317
760	7347	2307
761	7357	2297
762	7366	2288
763	7374	2278
764	7384	2268
765	7393	2258
766	7402	2248
767	7411	2239
768	7421	2229
769	7428	2219
770	7438	2209
771	7448	2199
772	7456	2189
773	7466	2180
774	7475	2170
775	7484	2160
776	7493	2150
777	7504	2141
778	7512	2131
779	7522	2121
780	7531	2112
781	7541	2102
782	7550	2092
783	7558	2082
784	7567	2072
785	7576	2062
786	7586	2053
787	7596	2043
788	7606	2034
789	7615	2024
790	7625	2014
791	7636	2005
792	7646	1995
793	7656	1986
794	7666	1976
795	7676	1967
796	7684	1957
797	7693	1947
798	7702	1937
799	7709	1927
800	7718	1917
801	7727	1907
802	7736	1897
803	7745	1888
804	7755	1878
805	7765	1869
806	7774	1859
807	7784	1849
808	7794	1840
809	7803	1830
810	7813	1820
811	7822	1811
812	7831	1801
813	7840	1791
814	7850	1782
815	7860	1772
816	7870	1762
817	7878	1753
818	7888	1743
819	7897	1733
820	7907	1724
821	7918	1714
822	7928	1705
823	7939	1695
824	7949	1686
825	7960	1676
826	7969	1667
827	7980	1657
828	7989	1648
829	7999	1638
830	8009	1628
831	8021	1619
832	8032	1610
833	8042	1600
834	8052	1591
835	8062	1581
836	8073	1572
837	8083	1562
838	8094	1553
839	8105	1543
840	8114	1534
841	8126	1524
842	8136	1515
843	8148	1506
844	8158	1496
845	8169	1487
846	8179	1477
847	8190	1468
848	8199	1458
849	8209	1448
850	8219	1439
851	8229	1429
852	8239	1419
853	8248	1410
854	8259	1400
855	8269	1391
856	8278	1381
857	8287	1371
858	8296	1361
859	8307	1352
860	8317	1342
861	8326	1333
862	8336	1323
863	8345	1313
864	8356	1304
865	8364	1294
866	8374	1284
867	8383	1274
868	8393	1265
869	8401	1255
870	8411	1245
871	8421	1236
872	8431	1226
873	8440	1216
874	8450	1207
875	8458	1197
876	8468	1187
877	8477	1178
878	8487	1168
879	8498	1158
880	8508	1149
881	8518	1139
882	8528	1130
883	8539	1120
884	8549	1110
885	8559	1101
886	8569	1091
887	8579	1082
888	8588	1072
889	8598	1062
890	8608	1053
891	8618	1043
892	8628	1033
893	8637	1024
894	8646	1014
895	8657	1004
896	8666	995
897	8676	985
898	8686	975
899	8695	966
900	8704	956
901	8715	946
902	8724	937
903	8734	927
904	8743	917
905	8752	908
906	8762	898
907	8773	888
908	8783	879
909	8793	869
910	8803	860
911	8812	850
912	8822	840
913	8831	831
914	8841	821
915	8851	811
916	8860	802
917	8869	792
918	8879	782
919	8889	773
920	8899	763
921	8908	753
922	8918	744
923	8928	734
924	8937	724
925	8947	715
926	8956	705
927	8965	695
928	8976	686
929	8985	676
930	8994	666
931	9004	657
932	9015	647
933	9024	637
934	9033	628
935	9043	618
936	9053	608
937	9063	599
938	9073	589
939	9083	579
940	9092	570
941	9101	560
942	9111	550
943	9121	541
944	9131	531
945	9140	521
946	9150	512
947	9160	502
948	9170	492
949	9180	483
950	9190	473
951	9201	463
952	9210	454
953	9220	444
954	9230	434
955	9240	425
956	9250	415
957	9260	405
958	9270	396
959	9281	386
960	9291	377
961	9302	367
962	9311	357
963	9321	348
964	9332	338
965	9342	328
966	9351	319
967	9361	309
968	9371	299
969	9381	290
970	9392	280
971	9402	270
972	9412	261
973	9421	251
974	9430	241
975	9440	232
976	9449	222
977	9459	212
978	9468	203
979	9478	193
980	9488	183
981	9498	174
982	9508	164
983	9518	154
984	9528	145
985	9537	135
986	9547	125
987	9556	116
988	9565	106
989	9574	96
990	9583	87
991	9593	77
992	9602	67
993	9612	58
994	9622	48
995	9631	38
996	9641	29
997	9651	19
998	9660	9
