Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
KNN_Plain_fold0,0.9675900778562375,0.057034220532319393,0.049342105263157895,0.05291005291005291,0.517047320691831,0.020256399871669033,1.0,15,248,16017,289,0.9994772608468374,0.05291005291005291,KNN,Plain,0,377.0,{'clf__n_neighbors': 1}
KNN_Plain_fold1,0.9638481501599372,0.043343653250773995,0.046052631578947366,0.044657097288676235,0.5135273917193846,0.01949865432552568,1.0,14,309,15956,290,0.9994778067885117,0.044657097288676235,KNN,Plain,1,361.01,{'clf__n_neighbors': 1}
KNN_Plain_fold2,0.9660791887976823,0.06397306397306397,0.0627062706270627,0.06333333333333334,0.5228071777359107,0.021152989809416052,1.0,19,278,15987,284,0.9989615784008308,0.06333333333333334,KNN,Plain,2,341.15,{'clf__n_neighbors': 1}
KNN_Plain_fold3,0.9658377595364558,0.0718954248366013,0.07236842105263158,0.07213114754098361,0.5274532710280374,0.022223721292798464,1.0,22,284,15980,282,0.999479979199168,0.07213114754098361,KNN,Plain,3,349.81,{'clf__n_neighbors': 1}
KNN_Plain_fold4,0.9636045388701111,0.05637982195845697,0.0625,0.059282371294851796,0.5214738071815052,0.020725573734788883,1.0,19,318,15946,285,0.9994869163673679,0.059282371294851796,KNN,Plain,4,348.78,{'clf__n_neighbors': 1}
KNN_Scaled_fold0,0.9663830044058181,0.08250825082508251,0.08223684210526316,0.08237232289950576,0.532572463475011,0.0236238926288352,1.0,25,278,15987,279,0.9994772608468374,0.08237232289950576,KNN,Scaled,0,344.29,{'clf__n_neighbors': 1}
KNN_Scaled_fold1,0.9654776993180035,0.050335570469798654,0.049342105263157895,0.04983388704318937,0.5159713907809795,0.019925874375163077,1.0,15,283,15982,289,0.9994778067885117,0.04983388704318937,KNN,Scaled,1,341.64,{'clf__n_neighbors': 1}
KNN_Scaled_fold2,0.965173829068083,0.060897435897435896,0.0627062706270627,0.061788617886178863,0.5223460649169743,0.020960128642957526,1.0,19,293,15972,284,0.9989615784008308,0.061788617886178863,KNN,Scaled,2,351.33,{'clf__n_neighbors': 1}
KNN_Scaled_fold3,0.9671052631578947,0.06810035842293907,0.0625,0.06518010291595197,0.5232568863748156,0.021458107263819012,1.0,19,260,16004,285,0.999479979199168,0.06518010291595197,KNN,Scaled,3,342.92,{'clf__n_neighbors': 1}
KNN_Scaled_fold4,0.9605263157894737,0.041884816753926704,0.05263157894736842,0.04664723032069971,0.5150639449090014,0.019587370847985522,1.0,16,366,15898,288,0.9994869163673679,0.04664723032069971,KNN,Scaled,4,335.82,{'clf__n_neighbors': 1}
KNN_Smote_fold0,0.9118836381193796,0.05674846625766871,0.24342105263157895,0.09203980099502487,0.6722687155176598,0.03808155279516369,0.8333333333333334,74,1230,15035,230,0.4518413597733711,0.09203980099502487,KNN,Smote,0,556.28,{'clf__n_neighbors': 6}
KNN_Smote_fold1,0.9401291568591948,0.053246753246753244,0.13486842105263158,0.07635009310986965,0.7276225791577007,0.041459518765639365,0.9444444444444444,41,729,15536,263,0.6315440689198144,0.07635009310986965,KNN,Smote,1,584.27,{'clf__n_neighbors': 18}
KNN_Smote_fold2,0.8829671656204732,0.059267241379310345,0.36303630363036304,0.10189902732746642,0.7481012195901422,0.04845312076466943,0.8076923076923077,110,1746,14519,193,0.284063981042654,0.10189902732746642,KNN,Smote,2,562.3,{'clf__n_neighbors': 26}
KNN_Smote_fold3,0.9176122646064703,0.06120760959470637,0.24342105263157895,0.09781890284203569,0.7303515432857846,0.04727036855922964,0.875,74,1135,15129,230,0.4295601696807323,0.09781890284203569,KNN,Smote,3,565.13,{'clf__n_neighbors': 16}
KNN_Smote_fold4,0.8971511347175277,0.05300127713920817,0.2730263157894737,0.08877005347593583,0.7112257132316774,0.04118940418391017,0.8,83,1483,14781,221,0.36373810856183547,0.08877005347593583,KNN,Smote,4,543.33,{'clf__n_neighbors': 10}
KNN_Scaled + Smote_fold0,0.8649284808980626,0.06204710144927536,0.4506578947368421,0.10907643312101911,0.7713748038248095,0.056629832056494106,0.6875,137,2071,14194,167,0.24614986411285103,0.10907643312101911,KNN,Scaled + Smote,0,561.56,{'clf__n_neighbors': 16}
KNN_Scaled + Smote_fold1,0.8498400627678194,0.057177615571776155,0.46381578947368424,0.10180505415162455,0.7157250594592844,0.043335682212787864,0.5,141,2325,13940,163,0.22608490008277166,0.10180505415162455,KNN,Scaled + Smote,1,593.99,{'clf__n_neighbors': 8}
KNN_Scaled + Smote_fold2,0.8376991791405118,0.05584512285927029,0.49504950495049505,0.10036801605888257,0.7678759084023988,0.05202389289953304,0.625,150,2536,13729,153,0.2134906500445236,0.10036801605888257,KNN,Scaled + Smote,2,643.66,{'clf__n_neighbors': 16}
KNN_Scaled + Smote_fold3,0.9360212457749879,0.06750572082379863,0.19407894736842105,0.100169779286927,0.7881752077562327,0.05461519139276596,0.9166666666666666,59,815,15449,245,0.5057842345977939,0.100169779286927,KNN,Scaled + Smote,3,682.54,{'clf__n_neighbors': 24}
KNN_Scaled + Smote_fold4,0.8923829068083051,0.04990870359099209,0.26973684210526316,0.08423215202876219,0.6924578743495483,0.03626846218407926,0.75,82,1561,14703,222,0.37126436781609196,0.08423215202876219,KNN,Scaled + Smote,4,902.24,{'clf__n_neighbors': 8}
