Feature,Importance,Normalized
AgeAtTest,2713,0.10036995930447651
pta_left_avg,2560,0.09470958194598594
pta_right_avg,2537,0.09385867554568997
pta_avg,2452,0.09071402145763965
left4000,2142,0.07924528301886792
right4000,2099,0.07765445800961894
left2000,2079,0.07691453940066592
left1000,2068,0.07650758416574177
right1000,1808,0.06688864224935256
right2000,1779,0.0658157602663707
qscore,1442,0.05334813170551239
hpyfs,530,0.0196078431372549
ffahs,451,0.016685164631890494
fafmc,410,0.015168331483536811
tut,405,0.014983351831298557
wyciyh,400,0.014798372179060304
mfaf,373,0.013799482056973733
gender_male,297,0.010987791342952274
gender_female,221,0.008176100628930818
gender_unknown,146,0.005401405845357011
gender_mostly_male,70,0.002589715131335553
gender_mostly_female,48,0.0017758046614872365
