Feature,Importance,Normalized
right1000,143,0.1361904761904762
right2000,108,0.10285714285714286
AgeAtTest,90,0.08571428571428572
wyciyh,72,0.06857142857142857
right4000,69,0.06571428571428571
left1000,66,0.06285714285714286
left2000,59,0.05619047619047619
mfaf,57,0.054285714285714284
fafmc,51,0.04857142857142857
tut,46,0.04380952380952381
left4000,44,0.0419047619047619
qscore,42,0.04
gender_male,38,0.03619047619047619
ffahs,36,0.03428571428571429
gender_female,34,0.03238095238095238
hpyfs,25,0.023809523809523808
gender_unknown,22,0.02095238095238095
gender_mostly_male,13,0.012380952380952381
pta_right_avg,11,0.010476190476190476
pta_avg,11,0.010476190476190476
gender_mostly_female,10,0.009523809523809525
pta_left_avg,3,0.002857142857142857
