Feature,Importance,Normalized
AgeAtTest,2644,0.1061847389558233
pta_left_avg,2520,0.10120481927710843
pta_right_avg,2465,0.09899598393574296
pta_avg,2310,0.0927710843373494
left4000,2023,0.08124497991967872
left2000,1946,0.07815261044176706
right4000,1920,0.07710843373493977
right2000,1822,0.0731726907630522
left1000,1780,0.0714859437751004
right1000,1650,0.06626506024096386
qscore,1123,0.0451004016064257
hpyfs,398,0.015983935742971887
fafmc,354,0.014216867469879518
mfaf,336,0.013493975903614458
ffahs,335,0.013453815261044177
tut,301,0.012088353413654619
wyciyh,277,0.011124497991967871
gender_male,264,0.010602409638554217
gender_female,191,0.007670682730923695
gender_unknown,131,0.005261044176706827
gender_mostly_female,56,0.002248995983935743
gender_mostly_male,54,0.002168674698795181
