Feature,Importance,Normalized
wyciyh,57,0.15833333333333333
hpyfs,51,0.14166666666666666
qscore,48,0.13333333333333333
gender_male,34,0.09444444444444444
gender_female,24,0.06666666666666667
ffahs,24,0.06666666666666667
mfaf,23,0.06388888888888888
AgeAtTest,16,0.044444444444444446
fafmc,15,0.041666666666666664
gender_unknown,11,0.030555555555555555
gender_mostly_male,8,0.022222222222222223
right2000,8,0.022222222222222223
left2000,6,0.016666666666666666
right1000,6,0.016666666666666666
left1000,5,0.013888888888888888
right4000,5,0.013888888888888888
tut,5,0.013888888888888888
left4000,3,0.008333333333333333
pta_left_avg,3,0.008333333333333333
pta_avg,3,0.008333333333333333
gender_mostly_female,3,0.008333333333333333
pta_right_avg,2,0.005555555555555556
