Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
LightGBM_Plain_fold0,0.9089866618383728,0.07304964539007092,0.33881578947368424,0.12018669778296383,0.6477747261637031,0.042276686739094696,0.007525673429708346,103,1307,14958,201,0.1452721530744938,0.12018669778296383,LightGBM,Plain,0,567.82,"{'clf__n_estimators': 963, 'clf__learning_rate': 0.19965314867128692, 'clf__bagging_fraction': 0.7661282842698098}"
LightGBM_Plain_fold1,0.9214798720502143,0.05530776092774309,0.20394736842105263,0.08701754385964912,0.5832935589819923,0.02671297027657228,0.008290800989357524,62,1059,15206,242,0.15675675675675677,0.08701754385964912,LightGBM,Plain,1,313.34,"{'clf__n_estimators': 945, 'clf__learning_rate': 0.19514545714474962, 'clf__bagging_fraction': 0.5102649952448811}"
LightGBM_Plain_fold2,0.9141718976339932,0.07709750566893424,0.33663366336633666,0.12546125461254612,0.7980480064606523,0.06202340189475283,0.03280598758166585,102,1221,15044,201,0.334901625320787,0.12546125461254612,LightGBM,Plain,2,464.04,"{'clf__n_estimators': 569, 'clf__learning_rate': 0.19727629857723777, 'clf__bagging_fraction': 0.5653476673421862}"
LightGBM_Plain_fold3,0.9479116368903912,0.08095952023988005,0.17763157894736842,0.11122554067971163,0.6675713191226345,0.044357570780632155,0.09832390303621574,54,613,15651,250,0.31396172927002125,0.11122554067971163,LightGBM,Plain,3,575.82,"{'clf__n_estimators': 887, 'clf__learning_rate': 0.19915270594250442, 'clf__bagging_fraction': 0.7471868677111717}"
LightGBM_Plain_fold4,0.9205094157411878,0.07896924355777224,0.3125,0.126078301260783,0.675898962351464,0.04425633298805272,0.026159667123471866,95,1108,15156,209,0.22340898976412996,0.126078301260783,LightGBM,Plain,4,475.56,"{'clf__n_estimators': 901, 'clf__learning_rate': 0.1902065142428759, 'clf__bagging_fraction': 0.889342941492812}"
LightGBM_Scaled_fold0,0.9222041161204659,0.07941929974380871,0.3059210526315789,0.12610169491525425,0.6916514310676785,0.0491318766782098,0.023222327565130763,93,1078,15187,211,0.22528327038435902,0.12610169491525425,LightGBM,Scaled,0,521.53,"{'clf__n_estimators': 830, 'clf__learning_rate': 0.19725126105614166, 'clf__bagging_fraction': 0.5042200461064962}"
LightGBM_Scaled_fold1,0.915263443780554,0.06556082148499211,0.2730263157894737,0.10573248407643313,0.8050625333700066,0.05755423491263258,0.0005340929404987303,83,1183,15082,221,0.6036546943919344,0.10573248407643313,LightGBM,Scaled,1,544.49,"{'clf__n_estimators': 943, 'clf__learning_rate': 0.19992433497955073, 'clf__bagging_fraction': 0.6850999038363237}"
LightGBM_Scaled_fold2,0.9387976822790922,0.08710801393728224,0.24752475247524752,0.12886597938144329,0.6528663564173817,0.046632098381466,0.03307791437752796,75,786,15479,228,0.25302985515814364,0.12886597938144329,LightGBM,Scaled,2,384.25,"{'clf__n_estimators': 952, 'clf__learning_rate': 0.19004058396802875, 'clf__bagging_fraction': 0.8094749291808766}"
LightGBM_Scaled_fold3,0.9287180106228875,0.07468477206595538,0.2532894736842105,0.11535580524344569,0.6726367930786756,0.04496075318299099,0.05235889518052566,77,954,15310,227,0.2554057491732384,0.11535580524344569,LightGBM,Scaled,3,485.67,"{'clf__n_estimators': 856, 'clf__learning_rate': 0.18926012219789626, 'clf__bagging_fraction': 0.7652541773598961}"
LightGBM_Scaled_fold4,0.9175519072911636,0.07246376811594203,0.29605263157894735,0.11642949547218628,0.6499696819905766,0.04014430648862263,0.026180475423663595,90,1152,15112,214,0.20262117744955274,0.11642949547218628,LightGBM,Scaled,4,512.37,"{'clf__n_estimators': 898, 'clf__learning_rate': 0.1806551571412541, 'clf__bagging_fraction': 0.6331932221479405}"
LightGBM_Smote_fold0,0.8946224877783813,0.07236061684460261,0.40131578947368424,0.12261306532663317,0.8348152312844824,0.07016227017969298,0.4104674578118229,122,1564,14701,182,0.13876550773472202,0.12261306532663317,LightGBM,Smote,0,474.58,"{'clf__n_estimators': 12, 'clf__learning_rate': 0.06890080090139837, 'clf__bagging_fraction': 0.8751073620837156}"
LightGBM_Smote_fold1,0.8643249441728529,0.06529516994633273,0.48026315789473684,0.11496062992125984,0.8121209976216286,0.06529503015954224,0.44463305841319956,146,2090,14175,158,0.12120464082942484,0.11496062992125984,LightGBM,Smote,1,604.5,"{'clf__n_estimators': 38, 'clf__learning_rate': 0.010256211686648083, 'clf__bagging_fraction': 0.6717302248445326}"
LightGBM_Smote_fold2,0.8672742636407532,0.07412398921832884,0.5445544554455446,0.13048635824436536,0.837089094707196,0.07378254505554721,0.24596796347849853,165,2061,14204,138,0.14395491803278687,0.13048635824436536,LightGBM,Smote,2,500.23,"{'clf__n_estimators': 58, 'clf__learning_rate': 0.042180033776477284, 'clf__bagging_fraction': 0.611327373680811}"
LightGBM_Smote_fold3,0.9618541767262192,0.07948717948717948,0.10197368421052631,0.0893371757925072,0.8313061661855696,0.06788166193739721,0.5113103446478756,31,359,15905,273,0.12769784172661872,0.0893371757925072,LightGBM,Smote,3,430.2,"{'clf__n_estimators': 14, 'clf__learning_rate': 0.086488324351993, 'clf__bagging_fraction': 0.9125822604625012}"
LightGBM_Smote_fold4,0.8969097054563013,0.07454545454545454,0.40460526315789475,0.12589559877175024,0.8262925706112303,0.07002104922299804,0.43659561998352986,123,1527,14737,181,0.13663590739841347,0.12589559877175024,LightGBM,Smote,4,580.88,"{'clf__n_estimators': 13, 'clf__learning_rate': 0.06499170417491272, 'clf__bagging_fraction': 0.9184112335534694}"
LightGBM_Scaled + Smote_fold0,0.9261874585068501,0.09009812667261374,0.33223684210526316,0.14175438596491227,0.8544327503357225,0.08233068566352537,0.5746660608654803,101,1020,15245,203,0.18240620957309184,0.14175438596491227,LightGBM,Scaled + Smote,0,521.3,"{'clf__n_estimators': 35, 'clf__learning_rate': 0.10844557696637419, 'clf__bagging_fraction': 0.7864182559607829}"
LightGBM_Scaled + Smote_fold1,0.9031927092763594,0.08492975734355045,0.4375,0.14224598930481283,0.8582190326338441,0.08350636420766963,0.502101264890111,133,1433,14832,171,0.17771883289124668,0.14224598930481283,LightGBM,Scaled + Smote,1,593.78,"{'clf__n_estimators': 92, 'clf__learning_rate': 0.043591839065038995, 'clf__bagging_fraction': 0.6613054081724106}"
LightGBM_Scaled + Smote_fold2,0.9278126508932882,0.09883198562443846,0.36303630363036304,0.1553672316384181,0.8560546801682936,0.10060360192000459,0.5123005039394891,110,1003,15262,193,0.1784121320249777,0.1553672316384181,LightGBM,Scaled + Smote,2,554.3,"{'clf__n_estimators': 89, 'clf__learning_rate': 0.05102519188215724, 'clf__bagging_fraction': 0.6338193429117324}"
LightGBM_Scaled + Smote_fold3,0.8660671173346209,0.07576428887904298,0.5625,0.13354158531823507,0.8473654074546302,0.09026192810297962,0.35029705084163326,171,2086,14178,133,0.1486601188310901,0.13354158531823507,LightGBM,Scaled + Smote,3,536.25,"{'clf__n_estimators': 105, 'clf__learning_rate': 0.04304960648574829, 'clf__bagging_fraction': 0.6720388472578417}"
LightGBM_Scaled + Smote_fold4,0.9552148720424916,0.11307420494699646,0.21052631578947367,0.1471264367816092,0.8482845548450564,0.07889355061443168,0.6785408767992847,64,502,15762,240,0.17547806524184478,0.1471264367816092,LightGBM,Scaled + Smote,4,685.91,"{'clf__n_estimators': 369, 'clf__learning_rate': 0.01197726136207346, 'clf__bagging_fraction': 0.5569664664230319}"
