Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
NaiveBayes_Plain_fold0,0.8408473655621944,0.06748238783833889,0.5986842105263158,0.12129290236587804,0.8470889219667675,0.0667583587627752,0.9569619948813012,182,2515,13750,122,0.11753711971757866,0.12129290236587804,NaiveBayes,Plain,0,7.88,{'clf__var_smoothing': 1.0404310465179142e-12}
NaiveBayes_Plain_fold1,0.8719898605830165,0.06385021603456553,0.4375,0.11143695014662756,0.8333220751694793,0.06077630665964183,0.9922335648644455,133,1950,14315,171,0.11811427107353319,0.11143695014662756,NaiveBayes,Plain,1,7.72,{'clf__var_smoothing': 9.364084804342822e-07}
NaiveBayes_Plain_fold2,0.8912964751327861,0.072,0.4158415841584158,0.1227471992206527,0.8315299713186812,0.06007037027690884,0.9972561333621657,126,1624,14641,177,0.1160837024591416,0.1227471992206527,NaiveBayes,Plain,2,7.88,{'clf__var_smoothing': 1.1913879180742855e-09}
NaiveBayes_Plain_fold3,0.8809150169000483,0.06962351727694688,0.4440789473684211,0.12037449843958983,0.8314019338804464,0.0658076582737982,0.9955868178398057,135,1804,14460,169,0.11752902393578903,0.12037449843958983,NaiveBayes,Plain,3,7.73,{'clf__var_smoothing': 1.2197130727151376e-06}
NaiveBayes_Plain_fold4,0.897271849348141,0.064214463840399,0.33881578947368424,0.10796645702306079,0.8228585858013824,0.05979100998444117,0.9721760617383655,103,1501,14763,201,0.11447698744769874,0.10796645702306079,NaiveBayes,Plain,4,7.89,{'clf__var_smoothing': 0.0016794371962510473}
NaiveBayes_Scaled_fold0,0.841873377995051,0.06758775205377147,0.5953947368421053,0.12139503688799463,0.8470286537123627,0.06665162928211384,0.958917588720513,181,2497,13768,123,0.11759799833194329,0.12139503688799463,NaiveBayes,Scaled,0,8.53,{'clf__var_smoothing': 0.00011850919327617881}
NaiveBayes_Scaled_fold1,0.8719898605830165,0.06385021603456553,0.4375,0.11143695014662756,0.8333034688627502,0.06077135410513021,0.9922289003896071,133,1950,14315,171,0.11809914179582426,0.11143695014662756,NaiveBayes,Scaled,1,8.55,{'clf__var_smoothing': 4.024966922462874e-05}
NaiveBayes_Scaled_fold2,0.8912964751327861,0.072,0.4158415841584158,0.1227471992206527,0.8315295654988186,0.06007027167746148,0.9972561847650588,126,1624,14641,177,0.1160837024591416,0.1227471992206527,NaiveBayes,Scaled,2,8.63,{'clf__var_smoothing': 8.521020573230711e-12}
NaiveBayes_Scaled_fold3,0.8775953645581844,0.06770310932798396,0.4440789473684211,0.1174934725848564,0.8312813899603904,0.06570464091837994,0.9949321935848481,135,1859,14405,169,0.11809256661991585,0.1174934725848564,NaiveBayes,Scaled,3,8.5,{'clf__var_smoothing': 0.00015095650066106932}
NaiveBayes_Scaled_fold4,0.8940125543215838,0.06578947368421052,0.3618421052631579,0.11133603238866396,0.833678616155798,0.06235762100103949,0.9974261220157047,110,1562,14702,194,0.12033462033462033,0.11133603238866396,NaiveBayes,Scaled,4,8.49,{'clf__var_smoothing': 0.0013448517642858427}
NaiveBayes_Smote_fold0,0.8787494719053655,0.07268170426065163,0.4769736842105263,0.12614180078294912,0.8485171582506835,0.06810224588831133,0.9998402632928967,145,1850,14415,159,0.12687366167023553,0.12614180078294912,NaiveBayes,Smote,0,28.99,{'clf__var_smoothing': 1.3592420739359764e-05}
NaiveBayes_Smote_fold1,0.8721105679280584,0.06806282722513089,0.47039473684210525,0.11891891891891893,0.8357748717782776,0.060987823116303484,0.9998581150876,143,1958,14307,161,0.12118060070211936,0.11891891891891893,NaiveBayes,Smote,1,25.84,{'clf__var_smoothing': 3.0678501807835165e-07}
NaiveBayes_Smote_fold2,0.8902100434572671,0.07748049052396878,0.45874587458745875,0.13257033857892228,0.838068946765565,0.0626021491418008,0.9999455721289113,139,1655,14610,164,0.11793020457280386,0.13257033857892228,NaiveBayes,Smote,2,27.87,{'clf__var_smoothing': 1.1285506794956464e-06}
NaiveBayes_Smote_fold3,0.878138580395944,0.06931190356604722,0.45394736842105265,0.12026143790849673,0.8308795094752376,0.06555601192977703,0.9998978358913473,138,1853,14411,166,0.11985438252590311,0.12026143790849673,NaiveBayes,Smote,3,27.91,{'clf__var_smoothing': 2.865250760007963e-06}
NaiveBayes_Smote_fold4,0.8911154031868662,0.06946039035591274,0.3980263157894737,0.11827956989247312,0.8354726171136769,0.06342154118417222,0.9999528059498013,121,1621,14643,183,0.12659787463422148,0.11827956989247312,NaiveBayes,Smote,4,27.31,{'clf__var_smoothing': 4.025976042766246e-06}
NaiveBayes_Scaled + Smote_fold0,0.8850866075200676,0.07671957671957672,0.4769736842105263,0.13217866909753875,0.8532773391363437,0.07633554706117063,0.9998925482355479,145,1745,14520,159,0.13190831106736042,0.13217866909753875,NaiveBayes,Scaled + Smote,0,27.05,{'clf__var_smoothing': 1.1042346717584195e-05}
NaiveBayes_Scaled + Smote_fold1,0.8833967046894804,0.06794055201698514,0.42105263157894735,0.1170018281535649,0.8407217224586212,0.06469693884248749,0.9999259196824966,128,1756,14509,176,0.12190315315315316,0.1170018281535649,NaiveBayes,Scaled + Smote,1,26.54,{'clf__var_smoothing': 0.00012942010274531713}
NaiveBayes_Scaled + Smote_fold2,0.9044543698696282,0.07839262187088274,0.3927392739273927,0.13069741900054915,0.8403409292666124,0.06472074242876075,0.9999753727369959,119,1399,14866,184,0.12315185249608628,0.13069741900054915,NaiveBayes,Scaled + Smote,2,29.18,{'clf__var_smoothing': 4.017557712229608e-05}
NaiveBayes_Scaled + Smote_fold3,0.8879164654756156,0.07264722069345074,0.4342105263157895,0.12446958981612447,0.8364475868563441,0.07150955744814291,0.999947680621489,132,1685,14579,172,0.12057387057387058,0.12446958981612447,NaiveBayes,Scaled + Smote,3,31.41,{'clf__var_smoothing': 1.8576441426833146e-05}
NaiveBayes_Scaled + Smote_fold4,0.8845364558184452,0.07184672698243746,0.4440789473684211,0.12368300503893724,0.8393057519675355,0.06877996033244885,0.9999211730514254,135,1744,14520,169,0.13120515448821204,0.12368300503893724,NaiveBayes,Scaled + Smote,4,30.88,{'clf__var_smoothing': 3.701131901935052e-11}
