Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
NeuralNetwork_Plain_fold0,0.8175508479690989,0.027787426189649182,0.2631578947368421,0.05026704366949419,0.5971649651333991,0.024315865016044103,0.04940093961019246,80,2799,13466,224,0.04952947003467063,0.05026704366949419,NeuralNetwork,Plain,0,808.72,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.0002799413865955014, 'clf__learning_rate_init': 0.00033341496173130086, 'clf__batch_size': 70}"
NeuralNetwork_Plain_fold1,0.2706258675840425,0.02105862265224815,0.8519736842105263,0.04110132508132984,0.51942235507305,0.017305668532277954,0.00011265621242500543,259,12040,4225,45,0.03937066218786277,0.04110132508132984,NeuralNetwork,Plain,1,977.35,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.004444703868768316, 'clf__learning_rate_init': 0.0015692348505386517, 'clf__batch_size': 70}"
NeuralNetwork_Plain_fold2,0.5385079671656204,0.02692951939183095,0.6897689768976898,0.051835317460317464,0.6352489045400083,0.024770407025988248,0.004850052550654914,209,7552,8713,94,0.05118387121981714,0.051835317460317464,NeuralNetwork,Plain,2,851.04,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.0014392283240549876, 'clf__learning_rate_init': 0.0019775268940897647, 'clf__batch_size': 121}"
NeuralNetwork_Plain_fold3,0.6646547561564462,0.030400572246065807,0.5592105263157895,0.057666214382632294,0.6602257245579517,0.027569804951365864,0.013278118830352183,170,5422,10842,134,0.055874151628347454,0.057666214382632294,NeuralNetwork,Plain,3,791.19,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.0017833283866008764, 'clf__learning_rate_init': 0.007224233945211331, 'clf__batch_size': 123}"
NeuralNetwork_Plain_fold4,0.8485031385803959,0.03538331929233361,0.27631578947368424,0.06273338312173264,0.6515871144212598,0.0290079552159269,0.06437554983343907,84,2290,13974,220,0.07478806178144234,0.06273338312173264,NeuralNetwork,Plain,4,945.16,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 0.00046494764382128703, 'clf__learning_rate_init': 0.00023653954745283151, 'clf__batch_size': 87}"
NeuralNetwork_Scaled_fold0,0.9044601363992999,0.07732980832782552,0.3848684210526316,0.12878370941111722,0.830777258239358,0.07707785036669362,0.04449661895215823,117,1396,14869,187,0.14114872831396327,0.12878370941111722,NeuralNetwork,Scaled,0,897.64,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.002682012367822597, 'clf__learning_rate_init': 0.002440017115198247, 'clf__batch_size': 109}"
NeuralNetwork_Scaled_fold1,0.021908383125113163,0.018238002908385845,0.9901315789473685,0.03581627796287482,0.26797450127008265,0.011412027265114956,0.007454645630867736,301,16203,62,3,0.03537849790033074,0.03581627796287482,NeuralNetwork,Scaled,1,848.17,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.0006681935731647442, 'clf__learning_rate_init': 0.00016360556631907734, 'clf__batch_size': 127}"
NeuralNetwork_Scaled_fold2,0.9489980685659102,0.07389937106918239,0.1551155115511551,0.10010649627263046,0.7811886260867096,0.05651686062406215,0.09682521064566635,47,589,15676,256,0.1036936631650288,0.10010649627263046,NeuralNetwork,Scaled,2,889.53,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.0002641059538197157, 'clf__learning_rate_init': 0.0012429886831395527, 'clf__batch_size': 128}"
NeuralNetwork_Scaled_fold3,0.02046112988894254,0.018270917780869984,0.993421052631579,0.035881898651458445,0.2562508899215574,0.011247253952938949,0.007426592391131221,302,16227,37,2,0.03550669464614013,0.035881898651458445,NeuralNetwork,Scaled,3,837.24,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.001016420661219886, 'clf__learning_rate_init': 0.0001398426970731707, 'clf__batch_size': 120}"
NeuralNetwork_Scaled_fold4,0.9605263157894737,0.0911214953271028,0.12828947368421054,0.10655737704918032,0.7842323496194371,0.06512874903235738,0.096770302459371,39,389,15875,265,0.11198600174978128,0.10655737704918032,NeuralNetwork,Scaled,4,804.85,"{'clf__hidden_layer_sizes': (32,), 'clf__activation': 'relu', 'clf__alpha': 0.0008264023791055119, 'clf__learning_rate_init': 0.0015306612627421466, 'clf__batch_size': 127}"
NeuralNetwork_Smote_fold0,0.8586516989558814,0.07399665551839466,0.5822368421052632,0.13130563798219586,0.8285976912000258,0.07057117165353287,0.4206260604630902,177,2215,14050,127,0.14137649935949692,0.13130563798219586,NeuralNetwork,Smote,0,7976.74,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.00459445906714246, 'clf__learning_rate_init': 0.0017670405394418585, 'clf__batch_size': 102}"
NeuralNetwork_Smote_fold1,0.917617237008872,0.08261211644374508,0.34539473684210525,0.13333333333333333,0.8185187357419063,0.06972059674744135,0.622350432570372,105,1166,15099,199,0.16954824316787506,0.13333333333333333,NeuralNetwork,Smote,1,7896.43,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 0.004837629614632751, 'clf__learning_rate_init': 0.0001290953612704413, 'clf__batch_size': 65}"
NeuralNetwork_Smote_fold2,0.9342105263157895,0.08535300316122234,0.26732673267326734,0.12939297124600638,0.8315123181546559,0.07166923595038333,0.7357471750647451,81,868,15397,222,0.13700051894135962,0.12939297124600638,NeuralNetwork,Smote,2,6569.06,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.0009569650258235003, 'clf__learning_rate_init': 0.006809973946069138, 'clf__batch_size': 84}"
NeuralNetwork_Smote_fold3,0.9407894736842105,0.09068923821039904,0.24671052631578946,0.13262599469496023,0.7974526399927512,0.07211222206113234,0.7277658666565318,75,752,15512,229,0.1565217391304348,0.13262599469496023,NeuralNetwork,Smote,3,8715.98,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.0008413944488758691, 'clf__learning_rate_init': 0.00018464092569239675, 'clf__batch_size': 109}"
NeuralNetwork_Smote_fold4,0.9302873008208595,0.08161258603736479,0.2730263157894737,0.12566237698713095,0.82670264241981,0.07124245134677686,0.7205763574551441,83,934,15330,221,0.15419387242591662,0.12566237698713095,NeuralNetwork,Smote,4,7736.16,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 6.028456210087864e-05, 'clf__learning_rate_init': 0.0063229776066154545, 'clf__batch_size': 75}"
NeuralNetwork_Scaled + Smote_fold0,0.8955277928661959,0.08347927612375948,0.47039473684210525,0.14179474467030243,0.8163466516737586,0.07337987818615754,0.5396371007582772,143,1570,14695,161,0.22433400841252532,0.14179474467030243,NeuralNetwork,Scaled + Smote,0,10628.73,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 0.00030690000580095713, 'clf__learning_rate_init': 0.000667891280128642, 'clf__batch_size': 99}"
NeuralNetwork_Scaled + Smote_fold1,0.913090711569799,0.08296622613803231,0.3717105263157895,0.13565426170468187,0.8301966201239341,0.07207592771770871,0.7119349434122083,113,1249,15016,191,0.1970961887477314,0.13565426170468187,NeuralNetwork,Scaled + Smote,1,9303.69,"{'clf__hidden_layer_sizes': (64,), 'clf__activation': 'relu', 'clf__alpha': 0.006715645518112561, 'clf__learning_rate_init': 0.002334533683269109, 'clf__batch_size': 73}"
NeuralNetwork_Scaled + Smote_fold2,0.9332448092708836,0.07692307692307693,0.24092409240924093,0.11661341853035144,0.8162378672542939,0.06093808446439604,0.836120167318804,73,876,15389,230,0.2932551319648094,0.11661341853035144,NeuralNetwork,Scaled + Smote,2,9631.13,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 6.013262704920991e-05, 'clf__learning_rate_init': 0.0032837458349848922, 'clf__batch_size': 115}"
NeuralNetwork_Scaled + Smote_fold3,0.9249758570738773,0.08779631255487269,0.32894736842105265,0.1386001386001386,0.8226390381080592,0.07912892282039727,0.8164610023011114,100,1039,15225,204,0.21034332898739677,0.1386001386001386,NeuralNetwork,Scaled + Smote,3,10712.97,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 0.006260229259766234, 'clf__learning_rate_init': 0.006923994167768512, 'clf__batch_size': 107}"
NeuralNetwork_Scaled + Smote_fold4,0.9203887011105746,0.07883817427385892,0.3125,0.12591119946984758,0.8254112448869962,0.06290811449929373,0.8009807209201825,95,1110,15154,209,0.22646365001072272,0.12591119946984758,NeuralNetwork,Scaled + Smote,4,10430.09,"{'clf__hidden_layer_sizes': (128,), 'clf__activation': 'relu', 'clf__alpha': 0.00014092711377237276, 'clf__learning_rate_init': 0.009070677662666166, 'clf__batch_size': 68}"
