Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
RandomForest_Plain_fold0,0.8181543846943087,0.06264126574103972,0.6381578947368421,0.11408409291384887,0.8256875232578834,0.05766633907178634,0.036570588773667353,194,2903,13362,110,0.10764459040321109,0.11408409291384887,RandomForest,Plain,0,1865.19,"{'clf__n_estimators': 45, 'clf__max_features': 0.47562440235725545, 'clf__min_weight_fraction_leaf': 0.36696418823598154, 'clf__max_samples': 0.7647462803281675}"
RandomForest_Plain_fold1,0.8234655078761542,0.05949579831932773,0.5822368421052632,0.10795974382433669,0.8141139959875094,0.05477918330236079,0.03833646592360531,177,2798,13467,127,0.11372365339578454,0.10795974382433669,RandomForest,Plain,1,1689.67,"{'clf__n_estimators': 96, 'clf__max_features': 0.582975192263048, 'clf__min_weight_fraction_leaf': 0.3084542510486475, 'clf__max_samples': 0.5613605314813717}"
RandomForest_Plain_fold2,0.8089087397392564,0.05749613601236476,0.6138613861386139,0.10514414923685698,0.799620254063525,0.050468516975650746,0.04099734447180689,186,3049,13216,117,0.10772180582185811,0.10514414923685698,RandomForest,Plain,2,1805.66,"{'clf__n_estimators': 44, 'clf__max_features': 0.9189650044258624, 'clf__min_weight_fraction_leaf': 0.343146263576688, 'clf__max_samples': 0.2015779274302402}"
RandomForest_Plain_fold3,0.9240704973442782,0.09300341296928327,0.35855263157894735,0.14769647696476965,0.8497221826701531,0.0917672295374037,0.05813630659440437,109,1063,15201,195,0.17642033319094405,0.14769647696476965,RandomForest,Plain,3,1935.4,"{'clf__n_estimators': 195, 'clf__max_features': 0.13439690118672432, 'clf__min_weight_fraction_leaf': 0.008515624225189755, 'clf__max_samples': 0.5148488606046167}"
RandomForest_Plain_fold4,0.8282834379526799,0.05931321540062435,0.5625,0.10731095073737057,0.805768653564864,0.053031394915356266,0.04331397674024889,171,2712,13552,133,0.11585244267198405,0.10731095073737057,RandomForest,Plain,4,1612.88,"{'clf__n_estimators': 21, 'clf__max_features': 0.6731665199943909, 'clf__min_weight_fraction_leaf': 0.27443943881212546, 'clf__max_samples': 0.24002266386633947}"
RandomForest_Scaled_fold0,0.6921359164705172,0.048730009407337724,0.8519736842105263,0.09218722192560953,0.7960640582781886,0.04619434314056315,0.03400544817063353,259,5056,11209,45,0.08792658130461065,0.09218722192560953,RandomForest,Scaled,0,1455.99,"{'clf__n_estimators': 8, 'clf__max_features': 0.9497594926538246, 'clf__min_weight_fraction_leaf': 0.46902012538623655, 'clf__max_samples': 0.316784558265926}"
RandomForest_Scaled_fold1,0.8468223791417708,0.06401249024199844,0.5394736842105263,0.11444521981856245,0.8156206012263982,0.05700556096248928,0.03324346228767741,164,2398,13867,140,0.11495994804070145,0.11444521981856245,RandomForest,Scaled,1,1911.86,"{'clf__n_estimators': 99, 'clf__max_features': 0.28448686111718946, 'clf__min_weight_fraction_leaf': 0.47576420023414434, 'clf__max_samples': 0.5341994184773817}"
RandomForest_Scaled_fold2,0.7402824722356349,0.048736462093862815,0.7128712871287128,0.09123548046462514,0.7878951036819022,0.04458985635942225,0.030251044520737357,216,4216,12049,87,0.09275440247345074,0.09123548046462514,RandomForest,Scaled,2,1484.2,"{'clf__n_estimators': 3, 'clf__max_features': 0.03466746159724832, 'clf__min_weight_fraction_leaf': 0.30511757964066105, 'clf__max_samples': 0.20496925956273043}"
RandomForest_Scaled_fold3,0.6486600676001931,0.04367245657568238,0.868421052631579,0.0831627027878406,0.7721040334481062,0.04171712354563463,0.038005505755935295,264,5781,10483,40,0.08157608157608158,0.0831627027878406,RandomForest,Scaled,3,1378.12,"{'clf__n_estimators': 4, 'clf__max_features': 0.8795046655293633, 'clf__min_weight_fraction_leaf': 0.3716247999215453, 'clf__max_samples': 0.15077349796922757}"
RandomForest_Scaled_fold4,0.6792008691453404,0.04052814964239868,0.7269736842105263,0.07677609866249784,0.7494079999093898,0.03817043273439116,0.03767058050967843,221,5232,11032,83,0.07631492258702097,0.07677609866249784,RandomForest,Scaled,4,1109.17,"{'clf__n_estimators': 2, 'clf__max_features': 0.13669309024048826, 'clf__min_weight_fraction_leaf': 0.21323004343545438, 'clf__max_samples': 0.987490799412941}"
RandomForest_Smote_fold0,0.8643852978453739,0.07259128904531456,0.5427631578947368,0.1280558789289872,0.8498191952367854,0.07831558365191592,0.41419584327533265,165,2108,14157,139,0.1351156069364162,0.1280558789289872,RandomForest,Smote,0,3031.44,"{'clf__n_estimators': 407, 'clf__max_features': 0.3527066169411576, 'clf__min_weight_fraction_leaf': 0.006291854316230045, 'clf__max_samples': 0.27098967375025756}"
RandomForest_Smote_fold1,0.9405516325668417,0.08118081180811808,0.21710526315789475,0.11817367949865712,0.8267897446891128,0.0692797007676962,0.5559790321125038,66,747,15518,238,0.14888196999716954,0.11817367949865712,RandomForest,Smote,1,8474.75,"{'clf__n_estimators': 1324, 'clf__max_features': 0.36912856397530014, 'clf__min_weight_fraction_leaf': 0.010161411507075706, 'clf__max_samples': 0.8731401793809769}"
RandomForest_Smote_fold2,0.9083172380492516,0.09249329758713137,0.45544554455445546,0.15376044568245126,0.8533614566498151,0.09137742236741155,0.4819663164137676,138,1354,14911,165,0.21225818116073042,0.15376044568245126,RandomForest,Smote,2,6073.94,"{'clf__n_estimators': 736, 'clf__max_features': 0.0005113862416446513, 'clf__min_weight_fraction_leaf': 0.0006462595523514317, 'clf__max_samples': 0.9864684676888571}"
RandomForest_Smote_fold3,0.9128440366972477,0.08211143695014662,0.3684210526315789,0.1342925659472422,0.8348014342299428,0.06962744697436263,0.49263446960533114,112,1252,15012,192,0.15209721677773422,0.1342925659472422,RandomForest,Smote,3,3527.94,"{'clf__n_estimators': 758, 'clf__max_features': 0.29520062335049646, 'clf__min_weight_fraction_leaf': 0.006133577809722843, 'clf__max_samples': 0.2758314129681547}"
RandomForest_Smote_fold4,0.8434331240946402,0.06857573474001508,0.5986842105263158,0.12305611899932387,0.84191423340539,0.08014618465270931,0.40841178944527184,182,2472,13792,122,0.1392582981943994,0.12305611899932387,RandomForest,Smote,4,9431.86,"{'clf__n_estimators': 1996, 'clf__max_features': 0.2657030943525754, 'clf__min_weight_fraction_leaf': 0.004749654599835012, 'clf__max_samples': 0.6606041079922073}"
RandomForest_Scaled + Smote_fold0,0.928782666425252,0.0989010989010989,0.35526315789473684,0.15472779369627507,0.8512077919976702,0.08733086660315663,0.5441910284531818,108,984,15281,196,0.325383707201889,0.15472779369627507,RandomForest,Scaled + Smote,0,6541.16,"{'clf__n_estimators': 779, 'clf__max_features': 0.3283949496757227, 'clf__min_weight_fraction_leaf': 0.00042937198901540734, 'clf__max_samples': 0.3539270502127271}"
RandomForest_Scaled + Smote_fold1,0.9563039410948156,0.10076045627376426,0.17434210526315788,0.12771084337349398,0.8476300216803921,0.07931939824322021,0.6440130615911867,53,473,15792,251,0.4415156507413509,0.12771084337349398,RandomForest,Scaled + Smote,1,6607.71,"{'clf__n_estimators': 512, 'clf__max_features': 0.7349902923832221, 'clf__min_weight_fraction_leaf': 0.00039629054581321937, 'clf__max_samples': 0.18065706827009237}"
RandomForest_Scaled + Smote_fold2,0.930830516658619,0.08878048780487804,0.30033003300330036,0.13704819277108435,0.8300458880809691,0.08258602763013353,0.5494358937643429,91,934,15331,212,0.29130107796440213,0.13704819277108435,RandomForest,Scaled + Smote,2,3860.82,"{'clf__n_estimators': 23, 'clf__max_features': 0.9969771013176125, 'clf__min_weight_fraction_leaf': 0.0005896316920814748, 'clf__max_samples': 0.2995712079049596}"
RandomForest_Scaled + Smote_fold3,0.9455577015934331,0.10344827586206896,0.2565789473684211,0.14744801512287334,0.8424168368304554,0.08587073297767565,0.5822327735714109,78,676,15588,226,0.4012987012987013,0.14744801512287334,RandomForest,Scaled + Smote,3,9991.48,"{'clf__n_estimators': 1061, 'clf__max_features': 0.3895913474120864, 'clf__min_weight_fraction_leaf': 0.0002997853333728505, 'clf__max_samples': 0.2566153062936012}"
RandomForest_Scaled + Smote_fold4,0.9118179623370353,0.09174311926605505,0.4276315789473684,0.15107495642068564,0.8461358999210398,0.08088320990034052,0.5566102955637839,130,1287,14977,174,0.26592577892438973,0.15107495642068564,RandomForest,Scaled + Smote,4,6877.45,"{'clf__n_estimators': 1591, 'clf__max_features': 0.9432293447522168, 'clf__min_weight_fraction_leaf': 0.0006855570628123142, 'clf__max_samples': 0.1075161063559252}"
