Feature,Importance
AgeAtTest,0.12452774348104674
qscore,0.10053815486040778
wyciyh,0.09113671680976211
pta_right_avg,0.08279980096780484
right4000,0.0674969489195144
pta_avg,0.067232670953378
pta_left_avg,0.06279762030736212
right2000,0.062123256445756836
left4000,0.052462111505491
left2000,0.049193316372579315
fafmc,0.04071062090160484
right1000,0.03815786017449958
hpyfs,0.036345324423831114
tut,0.03526745171101577
ffahs,0.030301228985683985
left1000,0.028001891079919367
mfaf,0.020595421400684523
gender_male,0.005032110695623625
gender_female,0.0029466574799837195
gender_unknown,0.0021263895207736887
gender_mostly_male,0.00018162365662272598
gender_mostly_female,2.5079346654060605e-05
