Feature,Importance
wyciyh,0.1892688027885147
AgeAtTest,0.1369096125065018
qscore,0.11780799988076639
right4000,0.10043272149007243
pta_avg,0.05510509536641868
left4000,0.04382779296419693
right2000,0.04288974616928108
ffahs,0.0384954208070851
pta_right_avg,0.03815522039731659
left1000,0.03565286026630991
right1000,0.03465905528669702
left2000,0.033937300356749696
tut,0.022853418238774348
mfaf,0.02278764127753291
pta_left_avg,0.021817011057391946
fafmc,0.021133417918888973
gender_male,0.014935862642204836
hpyfs,0.014066749384653163
gender_female,0.007969177445202185
gender_unknown,0.003402696023701614
gender_mostly_male,0.0021920232478523146
gender_mostly_female,0.001700374483887481
