Feature,Importance
wyciyh,0.2347322458160674
hpyfs,0.21260478184627823
qscore,0.11688130608591073
AgeAtTest,0.07748077497846527
fafmc,0.072126732313779
ffahs,0.06904376701898297
mfaf,0.06741800205686413
tut,0.03010935274059426
pta_avg,0.021110670404032177
right4000,0.020971313683842807
gender_male,0.020407201138707077
gender_female,0.013235961299461824
pta_right_avg,0.008786133158251379
left2000,0.008268758975067686
right2000,0.007688104474337569
left4000,0.00537023877026506
left1000,0.005347249005776407
pta_left_avg,0.004363727692526672
right1000,0.0031163904873043723
gender_unknown,0.0008601572995152467
gender_mostly_male,4.2413777793409935e-05
gender_mostly_female,3.471697617644788e-05
