Feature,Importance,Normalized
wyciyh,0.4362983,0.43629825
AgeAtTest,0.25556317,0.25556314
ffahs,0.1894734,0.18947338
mfaf,0.10564144,0.105641425
gender_male,0.0118496055,0.011849604
gender_unknown,0.0011741823,0.0011741822
right4000,0.0,0.0
right2000,0.0,0.0
right1000,0.0,0.0
left4000,0.0,0.0
left2000,0.0,0.0
left1000,0.0,0.0
tut,0.0,0.0
fafmc,0.0,0.0
pta_left_avg,0.0,0.0
hpyfs,0.0,0.0
pta_right_avg,0.0,0.0
pta_avg,0.0,0.0
gender_female,0.0,0.0
qscore,0.0,0.0
gender_mostly_female,0.0,0.0
gender_mostly_male,0.0,0.0
