Feature,Importance,Normalized
wyciyh,0.29979742,0.29979742
ffahs,0.0687626,0.0687626
gender_male,0.064654924,0.064654924
tut,0.062013686,0.062013686
fafmc,0.059233256,0.059233256
AgeAtTest,0.05820868,0.05820868
mfaf,0.048301615,0.048301615
gender_female,0.04491976,0.04491976
hpyfs,0.043005724,0.043005724
qscore,0.042025547,0.042025547
right4000,0.030800227,0.030800227
pta_avg,0.027974023,0.027974023
pta_right_avg,0.02576424,0.02576424
gender_unknown,0.022463199,0.022463199
left4000,0.020705607,0.020705607
left2000,0.014920941,0.014920941
right2000,0.01484194,0.01484194
left1000,0.014164507,0.014164507
right1000,0.013943633,0.013943633
gender_mostly_male,0.009669631,0.009669631
gender_mostly_female,0.008254728,0.008254728
pta_left_avg,0.0055742124,0.0055742124
