Feature,Importance,Normalized
qscore,0.1795495,0.1795495
pta_left_avg,0.14650288,0.14650288
right2000,0.1285672,0.1285672
tut,0.11398284,0.11398284
pta_avg,0.10756026,0.10756026
hpyfs,0.096646816,0.096646816
right4000,0.08522606,0.08522606
AgeAtTest,0.04207863,0.04207863
ffahs,0.03423763,0.03423763
fafmc,0.033845026,0.033845026
left1000,0.022001768,0.022001768
pta_right_avg,0.005378272,0.005378272
left4000,0.0044231187,0.0044231187
left2000,0.0,0.0
right1000,0.0,0.0
mfaf,0.0,0.0
wyciyh,0.0,0.0
gender_female,0.0,0.0
gender_male,0.0,0.0
gender_mostly_female,0.0,0.0
gender_mostly_male,0.0,0.0
gender_unknown,0.0,0.0
