Feature,Importance,Normalized
wyciyh,0.26536027,0.26536027
pta_right_avg,0.1454236,0.1454236
ffahs,0.065537825,0.065537825
mfaf,0.06339088,0.06339088
gender_male,0.057080846,0.057080846
pta_left_avg,0.056528248,0.056528248
hpyfs,0.047399856,0.047399856
left4000,0.043009724,0.043009724
gender_female,0.0374912,0.0374912
qscore,0.031428963,0.031428963
fafmc,0.03132527,0.03132527
AgeAtTest,0.03055011,0.03055011
tut,0.025144342,0.025144342
left2000,0.019710248,0.019710248
right4000,0.018654974,0.018654974
right1000,0.011679222,0.011679222
left1000,0.011470848,0.011470848
gender_unknown,0.010547571,0.010547571
right2000,0.009764855,0.009764855
pta_avg,0.007005444,0.007005444
gender_mostly_male,0.006102992,0.006102992
gender_mostly_female,0.0053927335,0.0053927335
