Model,Accuracy,Precision,Recall,F1 Score,AUC,PR AUC,Threshold,TP,FP,TN,FN,Train F1,Val F1,Model Type,Scenario,Fold,Time (s),Best Params
XGBoost_Plain_fold0,0.01834751644637576,0.01834751644637576,1.0,0.0360339003141113,0.5,0.01834751644637576,0.018050475,304,16265,0,0,0.035460861509958315,0.0360339003141113,XGBoost,Plain,0,560.68,"{'clf__n_estimators': 19, 'clf__learning_rate': 0.18787792329963884, 'clf__gamma': 0.03533662970461351, 'clf__subsample': 0.1669090643198926, 'clf__max_depth': 2, 'clf__min_child_weight': 0, 'clf__colsample_bytree': 0.4324203083729681, 'clf__colsample_bylevel': 0.8154344645624604, 'clf__reg_lambda': 59.49304180387885, 'clf__reg_alpha': 947.5977210183029}"
XGBoost_Plain_fold1,0.01834751644637576,0.01834751644637576,1.0,0.0360339003141113,0.5,0.01834751644637576,0.018069336,304,16265,0,0,0.035497258040610644,0.0360339003141113,XGBoost,Plain,1,596.16,"{'clf__n_estimators': 11, 'clf__learning_rate': 0.1558370885784469, 'clf__gamma': 0.2947649421497301, 'clf__subsample': 0.19964648936388846, 'clf__max_depth': 13, 'clf__min_child_weight': 0, 'clf__colsample_bytree': 0.32957447964433984, 'clf__colsample_bylevel': 0.9710491219395155, 'clf__reg_lambda': 897.6882848261979, 'clf__reg_alpha': 611.6778986115254}"
XGBoost_Plain_fold2,0.8576774505070014,0.06332341691457713,0.49174917491749176,0.11219879518072289,0.8228678478053769,0.05629955011285038,0.025930263,149,2204,14061,154,0.1173396674584323,0.11219879518072289,XGBoost,Plain,2,560.6,"{'clf__n_estimators': 7, 'clf__learning_rate': 0.17071277950408698, 'clf__gamma': 0.0997293855110812, 'clf__subsample': 0.7560983035819342, 'clf__max_depth': 1, 'clf__min_child_weight': 5, 'clf__colsample_bytree': 0.16617419530851063, 'clf__colsample_bylevel': 0.5898574060237017, 'clf__reg_lambda': 39.893992173836516, 'clf__reg_alpha': 38.40083727975764}"
XGBoost_Plain_fold3,0.932098020280058,0.08743718592964825,0.28618421052631576,0.13394919168591224,0.8399347647047403,0.07176388547886382,0.025816666,87,908,15356,217,0.14385266301642607,0.13394919168591224,XGBoost,Plain,3,618.42,"{'clf__n_estimators': 45, 'clf__learning_rate': 0.22141707146718578, 'clf__gamma': 0.04091808913605029, 'clf__subsample': 0.6246015969822439, 'clf__max_depth': 8, 'clf__min_child_weight': 2, 'clf__colsample_bytree': 0.16100967174500647, 'clf__colsample_bylevel': 0.837996523961341, 'clf__reg_lambda': 666.0161108165212, 'clf__reg_alpha': 195.73906513987507}"
XGBoost_Plain_fold4,0.01834862385321101,0.01834862385321101,1.0,0.036036036036036036,0.5,0.01834862385321101,0.018389637,304,16264,0,0,0.03611512390265585,0.036036036036036036,XGBoost,Plain,4,620.39,"{'clf__n_estimators': 86, 'clf__learning_rate': 0.22933847782669742, 'clf__gamma': 0.03210878488736309, 'clf__subsample': 0.2948886233003415, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__colsample_bytree': 0.9309680497894626, 'clf__colsample_bylevel': 0.024793895609815708, 'clf__reg_lambda': 219.87345193123522, 'clf__reg_alpha': 661.039635462531}"
XGBoost_Scaled_fold0,0.01834751644637576,0.01834751644637576,1.0,0.0360339003141113,0.5,0.01834751644637576,0.018050475,304,16265,0,0,0.035460861509958315,0.0360339003141113,XGBoost,Scaled,0,625.02,"{'clf__n_estimators': 15, 'clf__learning_rate': 0.123653180649566, 'clf__gamma': 0.23718069012041543, 'clf__subsample': 0.8197352025704109, 'clf__max_depth': 14, 'clf__min_child_weight': 2, 'clf__colsample_bytree': 0.7253964575818593, 'clf__colsample_bylevel': 0.17079100795888857, 'clf__reg_lambda': 388.32895716438526, 'clf__reg_alpha': 924.0016490492117}"
XGBoost_Scaled_fold1,0.8527973927213471,0.06410779910167415,0.5164473684210527,0.11405739193606974,0.8254234957205495,0.05955631939230902,0.021166118,157,2292,13973,147,0.12438368444643658,0.11405739193606974,XGBoost,Scaled,1,638.13,"{'clf__n_estimators': 18, 'clf__learning_rate': 0.17739502501863882, 'clf__gamma': 0.2995804923894153, 'clf__subsample': 0.3742737165078456, 'clf__max_depth': 9, 'clf__min_child_weight': 0, 'clf__colsample_bytree': 0.6694390303461231, 'clf__colsample_bylevel': 0.12485494552592202, 'clf__reg_lambda': 1002.9833677561203, 'clf__reg_alpha': 42.488134021969145}"
XGBoost_Scaled_fold2,0.018288266537904396,0.018288266537904396,1.0,0.03591962539268567,0.5,0.018288266537904396,0.01814444,303,16265,0,0,0.03564217039328653,0.03591962539268567,XGBoost,Scaled,2,670.76,"{'clf__n_estimators': 16, 'clf__learning_rate': 0.2193265614320759, 'clf__gamma': 0.1946147749122656, 'clf__subsample': 0.2414573751106423, 'clf__max_depth': 8, 'clf__min_child_weight': 2, 'clf__colsample_bytree': 0.5789536998653585, 'clf__colsample_bylevel': 0.6207829314371435, 'clf__reg_lambda': 889.9040819387842, 'clf__reg_alpha': 401.3268358802546}"
XGBoost_Scaled_fold3,0.8896668276195074,0.08177826564215149,0.4901315789473684,0.14016933207902163,0.8426803749644032,0.0711509295106687,0.028373655,149,1673,14591,155,0.13361483939074045,0.14016933207902163,XGBoost,Scaled,3,645.22,"{'clf__n_estimators': 105, 'clf__learning_rate': 0.10545488926627035, 'clf__gamma': 0.2640031901837789, 'clf__subsample': 0.43718110990404824, 'clf__max_depth': 14, 'clf__min_child_weight': 1, 'clf__colsample_bytree': 0.9439289191890329, 'clf__colsample_bylevel': 0.8720100177495933, 'clf__reg_lambda': 560.519751288431, 'clf__reg_alpha': 160.17899975621546}"
XGBoost_Scaled_fold4,0.01834862385321101,0.01834862385321101,1.0,0.036036036036036036,0.5,0.01834862385321101,0.018389637,304,16264,0,0,0.03611512390265585,0.036036036036036036,XGBoost,Scaled,4,566.06,"{'clf__n_estimators': 96, 'clf__learning_rate': 0.060588920791155985, 'clf__gamma': 0.33948927952504765, 'clf__subsample': 0.7231788807876749, 'clf__max_depth': 7, 'clf__min_child_weight': 1, 'clf__colsample_bytree': 0.14348597852175837, 'clf__colsample_bylevel': 0.7051368677829287, 'clf__reg_lambda': 375.1128370046974, 'clf__reg_alpha': 799.2720548649156}"
