Feature,Coefficient,Importance,Normalized
gender_male,7.274242622974232,7.274242622974232,0.19722233988026133
gender_female,6.998787674336705,6.998787674336705,0.18975408891344409
gender_unknown,6.212159086124691,6.212159086124691,0.16842668222317245
gender_mostly_female,6.143065542198515,6.143065542198515,0.16655338886329707
gender_mostly_male,5.958144622538893,5.958144622538893,0.16153973474721142
AgeAtTest,1.094390936707907,1.094390936707907,0.02967158953422895
wyciyh,0.9277911290944247,0.9277911290944247,0.025154665149914428
qscore,0.34728912115713817,0.34728912115713817,0.009415849407228795
hpyfs,-0.29397181819234053,0.29397181819234053,0.007970288158885012
left2000,0.2877601433926852,0.2877601433926852,0.007801874606841242
right1000,-0.26261414000532857,0.26261414000532857,0.0071201055370238115
left4000,-0.22466616973851855,0.22466616973851855,0.006091244131426814
right2000,0.21009757943527654,0.21009757943527654,0.0056962543548571285
mfaf,-0.15757860054421508,0.15757860054421508,0.0042723376061493245
ffahs,-0.13165860693409623,0.13165860693409623,0.003569583786346308
tut,0.09158119060302036,0.09158119060302036,0.0024829879392121368
fafmc,-0.08887417291178722,0.08887417291178722,0.0024095941316594305
right4000,0.07698700253399199,0.07698700253399199,0.00208730414519957
left1000,-0.06847252196648967,0.06847252196648967,0.001856455950078299
pta_right_avg,0.01864855328868323,0.01864855328868323,0.000505607457106243
pta_left_avg,-0.010353181895778541,0.010353181895778541,0.00028069984251591226
pta_avg,0.004327301761091483,0.004327301761091483,0.00011732363394025618
