Feature,Coefficient,Importance,Normalized
pta_right_avg,37.10466597990795,37.10466597990795,0.26180117107880935
pta_avg,17.460836924125328,17.460836924125328,0.12319926440592276
right1000,-15.291564301862854,15.291564301862854,0.10789342353930396
right4000,-15.273433671253306,15.273433671253306,0.10776549837947239
right2000,-15.270221807551652,15.270221807551652,0.10774283627873028
gender_male,7.170506907631948,7.170506907631948,0.05059328944406234
gender_female,6.778890219088111,6.778890219088111,0.0478301407950407
gender_mostly_female,5.765288268065506,5.765288268065506,0.0406784209027453
gender_unknown,5.6792913399000025,5.6792913399000025,0.04007164825277453
gender_mostly_male,5.622869713489342,5.622869713489342,0.03967355147765518
left1000,-2.19285402872742,2.19285402872742,0.015472225327040874
left4000,-2.1858416112221994,2.1858416112221994,0.015422747476574456
pta_left_avg,-2.182992132336736,2.182992132336736,0.015402642271757824
left2000,-2.170280754228389,2.170280754228389,0.015312953991674863
wyciyh,0.7432609797221191,0.7432609797221191,0.005244262137107014
qscore,0.25933870290950467,0.25933870290950467,0.001829828522497218
hpyfs,-0.21239998311975145,0.21239998311975145,0.0014986407463681531
ffahs,-0.186276412305687,0.186276412305687,0.0013143194150405603
fafmc,-0.0844522351632908,0.0844522351632908,0.00059587368548055
AgeAtTest,0.040369329790371465,0.040369329790371465,0.00028483581608062045
mfaf,-0.02678850107985477,0.02678850107985477,0.00018901291169012504
tut,0.025994854884506376,0.025994854884506376,0.00018341314417094127
